deaths,dragonKills,baronKills,firstBloodKill,firstBloodAssist,kills,lane,neutralMinionsKilled,turretTakedowns,turretsLost,visionScore,goldEarned,timeCCingOthers,enemyMissingPings,clearedPings,totalPings,wardsPlaced,wardsKilled,detectorPlaced,position,duration,win
11,0,0,True,False,6,MIDDLE,0,1,11,10,9912,0,12,0,19,7,0,0,SOLO,1662,False
10,0,0,False,False,3,BOTTOM,6,0,11,10,8979,19,11,0,53,5,1,0,CARRY,1662,False
10,0,0,False,False,3,BOTTOM,4,0,11,76,8768,56,3,0,35,29,8,7,SUPPORT,1662,False
7,0,0,False,False,7,TOP,9,2,2,13,11887,34,4,0,5,6,1,0,DUO,1662,True
4,4,1,False,False,9,JUNGLE,173,1,2,28,13274,32,17,0,69,4,8,2,NONE,1662,True
5,0,0,False,False,14,TOP,12,3,2,10,14244,4,6,0,25,6,1,1,DUO,1662,True
3,0,0,False,False,17,BOTTOM,3,6,2,19,16542,25,8,0,34,8,2,1,CARRY,1662,True
2,0,0,False,False,3,BOTTOM,0,6,2,74,9774,52,5,0,24,35,5,6,SUPPORT,1662,True
8,0,0,False,False,4,MIDDLE,20,7,10,19,17572,41,4,0,6,9,2,0,SUPPORT,2287,False
6,4,0,False,False,14,JUNGLE,222,3,10,33,17114,12,4,0,56,8,3,2,NONE,2287,False
7,0,0,False,False,2,MIDDLE,7,2,10,27,11909,46,4,0,16,9,3,3,DUO,2287,False
10,0,0,False,True,16,MIDDLE,21,3,10,13,17589,22,0,0,24,12,1,0,SUPPORT,2287,False
7,0,0,True,False,7,BOTTOM,0,5,10,111,12467,53,8,0,26,42,10,6,SOLO,2287,False
8,0,0,False,False,13,TOP,6,8,11,19,22255,60,4,0,6,8,3,0,SOLO,2287,True
11,1,1,False,False,2,JUNGLE,158,4,11,32,13670,29,11,0,24,6,7,3,NONE,2287,True
3,0,0,False,False,10,MIDDLE,3,4,11,20,17027,17,17,0,74,8,2,0,SOLO,2287,True
12,0,0,False,False,11,BOTTOM,0,3,11,24,17424,73,0,0,14,10,3,0,CARRY,2287,True
9,0,0,False,False,2,BOTTOM,1,1,11,89,11393,38,4,0,30,41,7,4,SUPPORT,2287,True
8,1,0,False,False,14,BOTTOM,8,0,9,13,18530,6,14,0,72,4,2,0,DUO,2275,False
8,1,0,False,False,10,JUNGLE,163,2,9,30,16355,52,4,0,78,5,7,1,NONE,2275,False
7,0,0,False,False,3,MIDDLE,10,0,9,25,14854,95,12,0,46,14,4,1,CARRY,2275,False
7,0,0,False,False,9,BOTTOM,4,1,9,35,17379,57,23,0,72,15,7,0,DUO,2275,False
13,0,0,False,False,5,MIDDLE,4,0,9,83,11639,24,5,0,31,31,14,1,SUPPORT,2275,False
8,2,2,False,False,10,MIDDLE,24,4,4,26,16294,81,12,0,51,16,2,0,DUO,2275,True
