missingPings,totalPings,wardsPlaced,wardsKilled,detectorsPlaced,position,cctime,turretTakedowns,turretsLost,duration,champ,win
5,54,4,0,2,SUPPORT,1,0,0,952,Zed,True
10,33,6,0,1,SUPPORT,8,1,0,952,Karthus,True
5,18,5,0,0,SUPPORT,0,1,0,952,Corki,True
0,3,13,0,0,SUPPORT,21,0,0,952,Janna,True
10,18,3,1,1,SOLO,8,0,11,1634,Kayle,False
13,41,8,1,0,NONE,25,0,11,1634,Volibear,False
10,35,4,2,1,SOLO,1,0,11,1634,Akali,False
1,8,9,2,0,SOLO,8,0,11,1634,Vayne,False
2,11,21,1,0,NONE,29,0,11,1634,Lulu,False
9,28,4,2,0,SOLO,31,4,0,1634,Urgot,True
1,60,6,5,3,NONE,22,3,0,1634,Belveth,True
5,29,2,4,0,DUO,56,2,0,1634,Morgana,True
0,8,6,0,1,DUO,0,5,0,1634,Lucian,True
1,65,29,5,4,SOLO,23,7,0,1634,Nami,True
8,15,8,0,0,SOLO,28,1,7,1453,Zaahen,False
8,18,10,0,2,SOLO,12,0,7,1453,Karthus,False
9,38,7,0,0,DUO,30,0,7,1453,Galio,False
0,5,8,1,0,DUO,22,0,7,1453,Jhin,False
6,15,21,4,0,SUPPORT,28,0,7,1453,Renata,False
8,10,8,1,0,NONE,10,3,1,1453,Smolder,True
17,33,2,2,0,NONE,7,1,1,1453,Khazix,True
1,8,4,0,0,SOLO,45,3,1,1453,Sion,True
4,51,8,1,0,CARRY,34,1,1,1453,Ashe,True
0,12,15,5,5,SUPPORT,13,2,1,1453,Yuumi,True
7,33,16,6,2,NONE,20,4,3,2198,Kayle,True
0,9,0,3,0,NONE,8,1,3,2198,Kayn,True
2,12,9,5,0,SOLO,34,2,3,2198,Cassiopeia,True
0,4,8,5,0,CARRY,40,5,3,2198,Jhin,True
0,5,17,4,1,SUPPORT,62,5,3,2198,Morgana,True
14,32,18,2,3,SOLO,14,2,9,2198,Jax,False
8,68,5,1,3,NONE,10,1,9,2198,Rumble,False
3,13,10,1,0,SOLO,31,1,9,2198,Orianna,False
5,20,14,1,0,CARRY,0,0,9,2198,Ezreal,False
1,12,33,3,5,SUPPORT,15,0,9,2198,Zilean,False
3,6,7,2,0,SOLO,27,4,2,1561,Aatrox,True
3,27,4,3,2,NONE,15,4,2,1561,Rengar,True
3,25,7,1,0,SOLO,20,3,2,1561,AurelionSol,True
1,19,7,3,0,CARRY,12,4,2,1561,Xayah,True
5,12,33,3,3,SUPPORT,43,1,2,1561,Neeko,True
6,22,8,0,0,SOLO,19,0,11,1561,Pantheon,False
7,131,5,1,4,NONE,7,0,11,1561,Khazix,False
5,44,10,1,0,SOLO,3,0,11,1561,Katarina,False
17,81,7,0,0,CARRY,6,2,11,1561,Twitch,False
2,12,21,8,4,SUPPORT,37,0,11,1561,Lulu,False
6,21,5,0,0,DUO,3,0,1,916,KSante,False
7,73,1,4,1,SUPPORT,4,0,1,916,Zac,False
9,50,6,1,1,SUPPORT,8,0,1,916,Mel,False
4,16,4,1,0,SUPPORT,10,0,1,916,Jinx,False
2,46,7,2,0,SUPPORT,19,0,1,916,Karma,False
4,25,4,0,0,DUO,2,0,0,916,Singed,True
7,46,9,0,3,SUPPORT,8,0,0,916,Graves,True
3,18,4,0,1,SUPPORT,3,0,0,916,Veigar,True
3,26,4,0,0,SUPPORT,0,1,0,916,Kaisa,True
4,16,10,1,1,SUPPORT,4,1,0,916,Sona,True
8,39,4,1,1,NONE,69,3,5,2136,Teemo,True
0,10,11,3,0,NONE,241,3,5,2136,Nocturne,True
0,17,7,0,0,SOLO,27,4,5,2136,Pantheon,True
3,55,14,2,2,CARRY,19,8,5,2136,Yunara,True
1,8,32,4,4,SUPPORT,72,8,5,2136,Morgana,True
10,22,13,1,1,SOLO,4,0,11,2136,Vladimir,False
2,7,12,3,1,NONE,6,0,11,2136,Talon,False
3,4,8,2,0,SOLO,16,4,11,2136,Azir,False
3,11,5,2,0,CARRY,4,0,11,2136,Tristana,False
5,24,17,6,0,SUPPORT,50,1,11,2136,Blitzcrank,False
2,35,9,1,1,SOLO,41,5,3,2249,Pantheon,True
6,108,3,7,2,NONE,43,4,3,2249,Kayn,True
9,30,15,3,2,SOLO,46,4,3,2249,Mel,True
5,97,17,2,7,CARRY,43,5,3,2249,Syndra,True
6,103,58,9,9,SUPPORT,55,5,3,2249,Karma,True
1,14,10,3,0,SOLO,61,0,12,2249,Shen,False
6,196,5,14,3,NONE,58,1,12,2249,Trundle,False
10,33,8,3,0,SOLO,36,2,12,2249,Velkoz,False
2,54,15,7,2,CARRY,59,0,12,2249,Hwei,False
20,81,51,14,1,SUPPORT,43,1,12,2249,Nami,False
7,21,13,2,0,SOLO,35,2,7,2185,Zaahen,True
11,60,11,3,0,NONE,19,7,7,2185,Gwen,True
